start,end,file
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 13.280 -to 13.881 -c:a libmp3lame -q:a 2 "audio/your-song/024.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 13.881 -to 14.481 -c:a libmp3lame -q:a 2 "audio/your-song/025.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 14.481 -to 15.082 -c:a libmp3lame -q:a 2 "audio/your-song/026.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 15.082 -to 15.682 -c:a libmp3lame -q:a 2 "audio/your-song/027.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 15.682 -to 16.283 -c:a libmp3lame -q:a 2 "audio/your-song/028.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 16.283 -to 16.883 -c:a libmp3lame -q:a 2 "audio/your-song/029.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 16.883 -to 17.484 -c:a libmp3lame -q:a 2 "audio/your-song/030.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 17.484 -to 18.084 -c:a libmp3lame -q:a 2 "audio/your-song/031.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 18.084 -to 18.685 -c:a libmp3lame -q:a 2 "audio/your-song/032.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 18.685 -to 19.286 -c:a libmp3lame -q:a 2 "audio/your-song/033.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 19.286 -to 19.886 -c:a libmp3lame -q:a 2 "audio/your-song/034.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 19.886 -to 20.487 -c:a libmp3lame -q:a 2 "audio/your-song/035.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 20.487 -to 21.087 -c:a libmp3lame -q:a 2 "audio/your-song/036.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 21.087 -to 21.688 -c:a libmp3lame -q:a 2 "audio/your-song/037.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 21.688 -to 22.288 -c:a libmp3lame -q:a 2 "audio/your-song/038.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 22.288 -to 22.889 -c:a libmp3lame -q:a 2 "audio/your-song/039.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 22.889 -to 23.489 -c:a libmp3lame -q:a 2 "audio/your-song/040.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 23.489 -to 24.090 -c:a libmp3lame -q:a 2 "audio/your-song/041.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 24.090 -to 24.690 -c:a libmp3lame -q:a 2 "audio/your-song/042.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 24.690 -to 25.291 -c:a libmp3lame -q:a 2 "audio/your-song/043.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 25.291 -to 25.891 -c:a libmp3lame -q:a 2 "audio/your-song/044.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 25.891 -to 26.492 -c:a libmp3lame -q:a 2 "audio/your-song/045.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 26.492 -to 27.092 -c:a libmp3lame -q:a 2 "audio/your-song/046.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 27.092 -to 27.693 -c:a libmp3lame -q:a 2 "audio/your-song/047.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 27.693 -to 28.294 -c:a libmp3lame -q:a 2 "audio/your-song/048.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 28.294 -to 28.894 -c:a libmp3lame -q:a 2 "audio/your-song/049.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 28.894 -to 29.495 -c:a libmp3lame -q:a 2 "audio/your-song/050.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 29.495 -to 30.095 -c:a libmp3lame -q:a 2 "audio/your-song/051.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 30.095 -to 30.696 -c:a libmp3lame -q:a 2 "audio/your-song/052.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 30.696 -to 31.296 -c:a libmp3lame -q:a 2 "audio/your-song/053.mp3"
